ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,Format
176-md,,Comments on Coos affixes in Alsea,text/markdown,comments/176.md,,CLDF Markdown
177-md,,Comments on English affixes in Mandarin,text/markdown,comments/177.md,,CLDF Markdown
178-md,,Comments on English affixes in Tagalog,text/markdown,comments/178.md,,CLDF Markdown
179-md,,Comments on French affixes in Turkish,text/markdown,comments/179.md,,CLDF Markdown
180-md,,Comments on Middle Chinese affixes in Vietnamese,text/markdown,comments/180.md,,CLDF Markdown
181-md,,Comments on Middle Chinese affixes in Japanese,text/markdown,comments/181.md,,CLDF Markdown
182-md,,Comments on English affixes in Japanese,text/markdown,comments/182.md,,CLDF Markdown
183-md,,Comments on Ancient Greek affixes in Latin,text/markdown,comments/183.md,,CLDF Markdown
184-md,,Comments on Sahaptin affixes in Upper Chinook,text/markdown,comments/184.md,,CLDF Markdown
185-md,,Comments on Nepali affixes in Baram,text/markdown,comments/185.md,,CLDF Markdown
186-md,,Comments on English affixes in German,text/markdown,comments/186.md,,CLDF Markdown
187-md,,Comments on Gurma affixes in Songhay Ciiné,text/markdown,comments/187.md,,CLDF Markdown
188-md,,Comments on German affixes in English,text/markdown,comments/188.md,,CLDF Markdown
189-md,,Comments on German affixes in Hungarian,text/markdown,comments/189.md,,CLDF Markdown
190-md,,Comments on Spanish affixes in Caquinte,text/markdown,comments/190.md,,CLDF Markdown
about,,,text/markdown,ABOUT.md,,CLDF Markdown
